Track ID,Entry time,Exit Time,Movement Tracks
9,2025-05-25 14:57:15.057182,2025-05-25 14:57:29.417177,186,408,189,407,187,400,88,440
2,2025-05-25 14:57:08.497462,2025-05-25 14:57:30.019554,350,454,350,454,350,454,351,454,351,455,350,455,350,454,351,455,350,455,350,455,350,454,350,454,351,456,350,455,350,454,349,454,350,453,349,453,349,453,350,455,353,422,263,423,266,409,54,432,65,439,54,422,98,427
17,2025-05-25 14:57:20.866644,2025-05-25 14:57:32.859843,398,419,398,421,347,420,344,422,342,429
11,2025-05-25 14:57:16.192928,2025-05-25 14:57:37.463086,391,443,400,440,395,440,227,477,231,481,266,502,355,462,353,469,361,469,357,469,355,462,353,469,354,470
